feature_row_0based,sample_id,official_word_index,official_word,text_char_start_0based,text_char_end_exclusive,bert_token_positions_0based,bert_wordpieces,bert_subword_count,text_feature_valid_mask,final_primary_start_time_wav_s,final_primary_end_time_wav_s,final_primary_valid_mask,timestamp_status
31,-3g5yACwYnA$_$3,17,technical,89,98,26,technical,1,1,7.429999828338623,8.050000190734863,1,mfa_primary_unique_word_overlap_auto_qc_pass
32,-3g5yACwYnA$_$3,18,inside,99,105,27,inside,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
33,-3g5yACwYnA$_$3,19,compounding,106,117,28;29,compound ##ing,2,1,9.369999885559082,10.029999732971191,1,mfa_primary_unique_word_overlap_auto_qc_pass
34,-3g5yACwYnA$_$3,20,or,118,120,30,or,1,1,10.0600004196167,10.300000190734863,1,mfa_primary_unique_word_overlap_auto_qc_pass
35,-3g5yACwYnA$_$3,21,the,121,124,31,the,1,1,10.300000190734863,10.380000114440918,1,mfa_primary_unique_word_overlap_auto_qc_pass
36,-3g5yACwYnA$_$3,22,technical,125,134,32,technical,1,1,10.380000114440918,10.789999961853027,1,mfa_primary_unique_word_overlap_auto_qc_pass
37,-3g5yACwYnA$_$3,23,expertise,135,144,33,expertise,1,1,10.789999961853027,11.279999732971191,1,mfa_primary_unique_word_overlap_auto_qc_pass
38,-3g5yACwYnA$_$3,24,to,145,147,34,to,1,1,11.279999732971191,11.369999885559082,1,mfa_primary_unique_word_overlap_auto_qc_pass
39,-3g5yACwYnA$_$3,25,do,148,150,35,do,1,1,11.369999885559082,11.489999771118164,1,mfa_primary_unique_word_overlap_auto_qc_pass
40,-3g5yACwYnA$_$3,26,these,151,156,36,these,1,1,11.489999771118164,11.710000038146973,1,mfa_primary_unique_word_overlap_auto_qc_pass
41,-3g5yACwYnA$_$3,27,types,157,162,37,types,1,1,11.710000038146973,11.970000267028809,1,mfa_primary_unique_word_overlap_auto_qc_pass
42,-3g5yACwYnA$_$3,28,of,163,165,38,of,1,1,11.970000267028809,12.0600004196167,1,mfa_primary_unique_word_overlap_auto_qc_pass
43,-3g5yACwYnA$_$3,29,things,166,172,39,things,1,1,12.0600004196167,12.399999618530273,1,mfa_primary_unique_word_overlap_auto_qc_pass
44,-3g5yACwYnA$_$2,1,Key,0,3,1,key,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
45,-3g5yACwYnA$_$2,2,Polymer,4,11,2,polymer,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
46,-3g5yACwYnA$_$2,3,brings,12,18,3,brings,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
47,-3g5yACwYnA$_$2,4,a,19,20,4,a,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
48,-3g5yACwYnA$_$2,5,technical,21,30,5,technical,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
49,-3g5yACwYnA$_$2,6,aspect,31,37,6,aspect,1,1,4.28000020980835,4.75,1,mfa_primary_exact_transcript_auto_qc_pass
50,-3g5yACwYnA$_$2,7,to,38,40,7,to,1,1,4.75,5.0,1,mfa_primary_exact_transcript_auto_qc_pass
51,-3g5yACwYnA$_$2,8,our,41,44,8,our,1,1,5.21999979019165,5.619999885559082,1,mfa_primary_exact_transcript_auto_qc_pass
52,-3g5yACwYnA$_$2,9,operation,45,54,9,operation,1,1,5.809999942779541,6.489999771118164,1,mfa_primary_exact_transcript_auto_qc_pass
53,-3g5yACwYnA$_$2,10,that,55,59,10,that,1,1,6.489999771118164,6.650000095367432,1,mfa_primary_exact_transcript_auto_qc_pass
54,-3g5yACwYnA$_$2,11,we,60,62,11,we,1,1,6.650000095367432,6.769999980926514,1,mfa_primary_exact_transcript_auto_qc_pass
55,-3g5yACwYnA$_$2,12,don't,63,68,12;13;14,don ' t,3,1,6.769999980926514,7.010000228881836,1,mfa_primary_exact_transcript_auto_qc_pass
56,-3g5yACwYnA$_$2,13,have,69,73,15,have,1,1,7.010000228881836,7.210000038146973,1,mfa_primary_exact_transcript_auto_qc_pass
57,-3g5yACwYnA$_$2,14,internally,74,84,16,internally,1,1,7.210000038146973,7.699999809265137,1,mfa_primary_exact_transcript_auto_qc_pass
58,-3g5yACwYnA$_$9,1,We,0,2,1,we,1,1,0.75,0.8999999761581421,1,mfa_primary_unique_word_overlap_auto_qc_pass
59,-3g5yACwYnA$_$9,2,have,3,7,2,have,1,1,0.8999999761581421,1.0800000429153442,1,mfa_primary_unique_word_overlap_auto_qc_pass
60,-3g5yACwYnA$_$9,3,many,8,12,3,many,1,1,1.0800000429153442,1.4700000286102295,1,mfa_primary_unique_word_overlap_auto_qc_pass
61,-3g5yACwYnA$_$9,4,new,13,16,4,new,1,1,1.6399999856948853,1.8899999856948853,1,mfa_primary_unique_word_overlap_auto_qc_pass
62,-3g5yACwYnA$_$9,5,opportunities,17,30,5,opportunities,1,1,1.8899999856948853,2.490000009536743,1,mfa_primary_unique_word_overlap_auto_qc_pass
63,-3g5yACwYnA$_$9,6,through,31,38,6,through,1,1,2.490000009536743,2.8299999237060547,1,mfa_primary_unique_word_overlap_auto_qc_pass
64,-3g5yACwYnA$_$9,7,the,39,42,7,the,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
65,-3g5yACwYnA$_$9,8,way,43,46,8,way,1,1,3.4200000762939453,3.630000114440918,1,mfa_primary_unique_word_overlap_auto_qc_pass
66,-3g5yACwYnA$_$9,9,things,47,53,9,things,1,1,3.630000114440918,3.890000104904175,1,mfa_primary_unique_word_overlap_auto_qc_pass
67,-3g5yACwYnA$_$9,10,have,54,58,10,have,1,1,3.890000104904175,3.990000009536743,1,mfa_primary_unique_word_overlap_auto_qc_pass
68,-3g5yACwYnA$_$9,11,changed,59,66,11,changed,1,1,3.990000009536743,4.300000190734863,1,mfa_primary_unique_word_overlap_auto_qc_pass
69,-3g5yACwYnA$_$9,12,through,67,74,12,through,1,1,4.300000190734863,4.429999828338623,1,mfa_primary_unique_word_overlap_auto_qc_pass
70,-3g5yACwYnA$_$9,13,the,75,78,13,the,1,1,4.429999828338623,4.519999980926514,1,mfa_primary_unique_word_overlap_auto_qc_pass
71,-3g5yACwYnA$_$9,14,years,79,84,14,years,1,1,4.519999980926514,4.980000019073486,1,mfa_primary_unique_word_overlap_auto_qc_pass
72,-3g5yACwYnA$_$9,15,looking,86,93,16,looking,1,1,5.630000114440918,5.849999904632568,1,mfa_primary_unique_word_overlap_auto_qc_pass
73,-3g5yACwYnA$_$9,16,for,94,97,17,for,1,1,5.849999904632568,6.0,1,mfa_primary_unique_word_overlap_auto_qc_pass
74,-3g5yACwYnA$_$9,17,new,98,101,18,new,1,1,6.0,6.199999809265137,1,mfa_primary_unique_word_overlap_auto_qc_pass
75,-3g5yACwYnA$_$9,18,niche,102,107,19,niche,1,1,6.199999809265137,6.610000133514404,1,mfa_primary_unique_word_overlap_auto_qc_pass
76,-3g5yACwYnA$_$9,19,high,108,112,20,high,1,1,6.639999866485596,6.829999923706055,1,mfa_primary_unique_word_overlap_auto_qc_pass
77,-3g5yACwYnA$_$9,20,end,113,116,22,end,1,1,6.829999923706055,7.050000190734863,1,mfa_primary_unique_word_overlap_auto_qc_pass
78,-3g5yACwYnA$_$9,21,value,118,123,24,value,1,1,7.050000190734863,7.449999809265137,1,mfa_primary_unique_word_overlap_auto_qc_pass
79,-3g5yACwYnA$_$9,22,added,124,129,26,added,1,1,7.449999809265137,7.639999866485596,1,mfa_primary_unique_word_overlap_auto_qc_pass
80,-3g5yACwYnA$_$9,23,products,130,138,27,products,1,1,7.639999866485596,8.130000114440918,1,mfa_primary_unique_word_overlap_auto_qc_pass
81,-3nNcZdcdvU$_$5,1,Noncompliance,0,13,1;2;3;4,non ##com ##pl ##iance,4,1,,,0,official_word_unmatched_or_ambiguous_in_asr
82,-3nNcZdcdvU$_$5,2,can,14,17,5,can,1,1,1.590000033378601,1.9500000476837158,1,mfa_primary_unique_word_overlap_auto_qc_pass
83,-3nNcZdcdvU$_$5,3,result,18,24,6,result,1,1,1.9500000476837158,2.6600000858306885,1,mfa_primary_unique_word_overlap_auto_qc_pass
84,-3nNcZdcdvU$_$5,4,in,25,27,7,in,1,1,2.6600000858306885,2.819999933242798,1,mfa_primary_unique_word_overlap_auto_qc_pass
85,-3nNcZdcdvU$_$5,5,legal,28,33,8,legal,1,1,2.819999933242798,3.069999933242798,1,mfa_primary_unique_word_overlap_auto_qc_pass
86,-3nNcZdcdvU$_$5,6,liability,34,43,9,liability,1,1,3.069999933242798,3.880000114440918,1,mfa_primary_unique_word_overlap_auto_qc_pass
87,-3nNcZdcdvU$_$5,7,to,44,46,10,to,1,1,3.9700000286102295,4.119999885559082,1,mfa_primary_unique_word_overlap_auto_qc_pass
88,-3nNcZdcdvU$_$5,8,you,47,50,11,you,1,1,4.119999885559082,4.610000133514404,1,mfa_primary_unique_word_overlap_auto_qc_pass
89,-3nNcZdcdvU$_$5,9,and,51,54,12,and,1,1,4.929999828338623,5.230000019073486,1,mfa_primary_unique_word_overlap_auto_qc_pass
90,-3nNcZdcdvU$_$5,10,to,55,57,13,to,1,1,5.230000019073486,5.349999904632568,1,mfa_primary_unique_word_overlap_auto_qc_pass
91,-3nNcZdcdvU$_$5,11,the,58,61,14,the,1,1,5.349999904632568,5.449999809265137,1,mfa_primary_unique_word_overlap_auto_qc_pass
92,-3nNcZdcdvU$_$5,12,school,62,68,15,school,1,1,5.449999809265137,5.739999771118164,1,mfa_primary_unique_word_overlap_auto_qc_pass
93,-3nNcZdcdvU$_$5,13,district,69,77,16,district,1,1,5.739999771118164,6.159999847412109,1,mfa_primary_unique_word_overlap_auto_qc_pass
94,-3nNcZdcdvU$_$5,14,in,78,80,17,in,1,1,6.159999847412109,6.239999771118164,1,mfa_primary_unique_word_overlap_auto_qc_pass
95,-3nNcZdcdvU$_$5,15,which,81,86,18,which,1,1,6.239999771118164,6.510000228881836,1,mfa_primary_unique_word_overlap_auto_qc_pass
96,-3nNcZdcdvU$_$5,16,you,87,90,19,you,1,1,6.510000228881836,6.630000114440918,1,mfa_primary_unique_word_overlap_auto_qc_pass
97,-3nNcZdcdvU$_$5,17,are,91,94,20,are,1,1,6.630000114440918,6.71999979019165,1,mfa_primary_unique_word_overlap_auto_qc_pass
98,-3nNcZdcdvU$_$5,18,employed,95,103,21,employed,1,1,6.71999979019165,7.230000019073486,1,mfa_primary_unique_word_overlap_auto_qc_pass
99,-HwX2H8Z4hY$_$2,1,President,3,12,3,president,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
100,-HwX2H8Z4hY$_$2,2,Ronald,13,19,4,ronald,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
101,-HwX2H8Z4hY$_$2,3,Reagan,20,26,5,reagan,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
102,-HwX2H8Z4hY$_$2,4,Look,30,34,9,look,1,1,2.6700000762939453,2.859999895095825,1,mfa_primary_unique_word_overlap_auto_qc_pass
103,-HwX2H8Z4hY$_$2,5,at,35,37,10,at,1,1,2.859999895095825,2.9200000762939453,1,mfa_primary_unique_word_overlap_auto_qc_pass
104,-HwX2H8Z4hY$_$2,6,the,38,41,11,the,1,1,2.9200000762939453,3.009999990463257,1,mfa_primary_unique_word_overlap_auto_qc_pass
105,-HwX2H8Z4hY$_$2,7,record,42,48,12,record,1,1,3.009999990463257,3.4200000762939453,1,mfa_primary_unique_word_overlap_auto_qc_pass
106,-HwX2H8Z4hY$_$5,1,President,2,11,2,president,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
107,-HwX2H8Z4hY$_$5,2,Ronald,12,18,3,ronald,1,1,1.2999999523162842,1.6200000047683716,1,mfa_primary_exact_transcript_auto_qc_pass
108,-HwX2H8Z4hY$_$5,3,Reagan,19,25,4,reagan,1,1,1.6200000047683716,2.119999885559082,1,mfa_primary_exact_transcript_auto_qc_pass
109,-HwX2H8Z4hY$_$5,4,blamed,26,32,5,blamed,1,1,2.119999885559082,2.5299999713897705,1,mfa_primary_exact_transcript_auto_qc_pass
110,-HwX2H8Z4hY$_$5,5,the,33,36,6,the,1,1,2.5299999713897705,2.7100000381469727,1,mfa_primary_exact_transcript_auto_qc_pass
111,-HwX2H8Z4hY$_$5,6,professional,37,49,7,professional,1,1,2.7100000381469727,3.390000104904175,1,mfa_primary_exact_transcript_auto_qc_pass
112,-HwX2H8Z4hY$_$5,7,bureaucracy,50,61,8,bureaucracy,1,1,3.390000104904175,4.230000019073486,1,mfa_primary_exact_transcript_auto_qc_pass
113,-HwX2H8Z4hY$_$5,8,of,62,64,9,of,1,1,4.230000019073486,4.389999866485596,1,mfa_primary_exact_transcript_auto_qc_pass
114,-HwX2H8Z4hY$_$5,9,education,65,74,10,education,1,1,4.389999866485596,5.099999904632568,1,mfa_primary_exact_transcript_auto_qc_pass
115,-HwX2H8Z4hY$_$6,1,And,0,3,1,and,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
116,-HwX2H8Z4hY$_$6,2,in,4,6,2,in,1,1,0.6499999761581421,0.7400000095367432,1,mfa_primary_unique_word_overlap_auto_qc_pass
117,-HwX2H8Z4hY$_$6,3,part,7,11,3,part,1,1,0.7400000095367432,1.1799999475479126,1,mfa_primary_unique_word_overlap_auto_qc_pass
118,-HwX2H8Z4hY$_$6,4,Al,13,15,5,al,1,1,1.4500000476837158,1.6399999856948853,1,mfa_primary_unique_word_overlap_auto_qc_pass
119,-HwX2H8Z4hY$_$6,5,Shanker,16,23,6;7,shan ##ker,2,1,,,0,official_word_unmatched_or_ambiguous_in_asr
120,-HwX2H8Z4hY$_$6,6,did,24,27,8,did,1,1,2.259999990463257,2.490000009536743,1,mfa_primary_unique_word_overlap_auto_qc_pass
121,-HwX2H8Z4hY$_$6,7,too,28,31,9,too,1,1,2.490000009536743,2.7799999713897705,1,mfa_primary_unique_word_overlap_auto_qc_pass
122,-HwX2H8Z4hY$_$9,1,It,0,2,1,it,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
123,-HwX2H8Z4hY$_$9,2,is,3,5,2,is,1,1,0.6200000047683716,0.7599999904632568,1,mfa_primary_unique_word_overlap_auto_qc_pass
124,-HwX2H8Z4hY$_$9,3,a,6,7,3,a,1,1,0.7599999904632568,0.8500000238418579,1,mfa_primary_unique_word_overlap_auto_qc_pass
125,-HwX2H8Z4hY$_$9,4,word,8,12,4,word,1,1,0.8500000238418579,1.2400000095367432,1,mfa_primary_unique_word_overlap_auto_qc_pass
126,-HwX2H8Z4hY$_$9,5,which,13,18,5,which,1,1,1.409999966621399,1.649999976158142,1,mfa_primary_unique_word_overlap_auto_qc_pass
127,-HwX2H8Z4hY$_$9,6,the,19,22,6,the,1,1,1.649999976158142,1.7599999904632568,1,mfa_primary_unique_word_overlap_auto_qc_pass
128,-HwX2H8Z4hY$_$9,7,administrator,23,36,7,administrator,1,1,1.7599999904632568,2.490000009536743,1,mfa_primary_unique_word_overlap_auto_qc_pass
129,-HwX2H8Z4hY$_$9,8,uses,37,41,8,uses,1,1,2.490000009536743,2.9700000286102295,1,mfa_primary_unique_word_overlap_auto_qc_pass
130,-HwX2H8Z4hY$_$9,9,when,42,46,9,when,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
131,-HwX2H8Z4hY$_$9,10,he,47,49,10,he,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
132,-HwX2H8Z4hY$_$9,11,turns,50,55,11,turns,1,1,,,0,mfa_whisper_discrepancy_over_0_5s_null_primary
133,-HwX2H8Z4hY$_$9,12,around,56,62,12,around,1,1,4.320000171661377,4.800000190734863,1,mfa_primary_unique_word_overlap_auto_qc_pass
134,-HwX2H8Z4hY$_$9,13,anything,63,71,13,anything,1,1,4.869999885559082,5.5,1,mfa_primary_unique_word_overlap_auto_qc_pass
135,-HwX2H8Z4hY$_$9,14,which,72,77,14,which,1,1,5.5,5.639999866485596,1,mfa_primary_unique_word_overlap_auto_qc_pass
136,-HwX2H8Z4hY$_$9,15,he,78,80,15,he,1,1,5.639999866485596,5.730000019073486,1,mfa_primary_unique_word_overlap_auto_qc_pass
137,-HwX2H8Z4hY$_$9,16,doesn't,81,88,16;17;18,doesn ' t,3,1,5.730000019073486,6.019999980926514,1,mfa_primary_unique_word_overlap_auto_qc_pass
138,-HwX2H8Z4hY$_$9,17,like,89,93,19,like,1,1,6.019999980926514,6.260000228881836,1,mfa_primary_unique_word_overlap_auto_qc_pass
139,-HwX2H8Z4hY$_$9,18,that,94,98,20,that,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
140,-HwX2H8Z4hY$_$9,19,the,99,102,21,the,1,1,6.260000228881836,6.389999866485596,1,mfa_primary_unique_word_overlap_auto_qc_pass
141,-HwX2H8Z4hY$_$9,20,teacher,103,110,22,teacher,1,1,6.389999866485596,6.760000228881836,1,mfa_primary_unique_word_overlap_auto_qc_pass
142,-HwX2H8Z4hY$_$9,21,is,111,113,23,is,1,1,6.760000228881836,6.869999885559082,1,mfa_primary_unique_word_overlap_auto_qc_pass
143,-HwX2H8Z4hY$_$9,22,doing,114,119,24,doing,1,1,6.869999885559082,7.210000038146973,1,mfa_primary_unique_word_overlap_auto_qc_pass
144,-NFrJFQijFE$_$1,1,Structural,0,10,1,structural,1,1,,,0,asr_empty_no_timestamp
145,-NFrJFQijFE$_$1,2,mounts,11,17,2,mounts,1,1,,,0,asr_empty_no_timestamp
146,-NFrJFQijFE$_$1,3,inside,18,24,3,inside,1,1,,,0,asr_empty_no_timestamp
147,-NFrJFQijFE$_$1,4,have,25,29,4,have,1,1,,,0,asr_empty_no_timestamp
148,-NFrJFQijFE$_$1,5,to,30,32,5,to,1,1,,,0,asr_empty_no_timestamp
149,-NFrJFQijFE$_$1,6,be,33,35,6,be,1,1,,,0,asr_empty_no_timestamp
150,-NFrJFQijFE$_$1,7,properly,36,44,7,properly,1,1,,,0,asr_empty_no_timestamp
151,-NFrJFQijFE$_$1,8,stress,45,51,8,stress,1,1,,,0,asr_empty_no_timestamp
152,-NFrJFQijFE$_$1,9,analyzed,52,60,9,analyzed,1,1,,,0,asr_empty_no_timestamp
153,-NFrJFQijFE$_$1,10,so,61,63,10,so,1,1,,,0,asr_empty_no_timestamp
154,-NFrJFQijFE$_$1,11,we,64,66,11,we,1,1,,,0,asr_empty_no_timestamp
155,-NFrJFQijFE$_$1,12,make,67,71,12,make,1,1,,,0,asr_empty_no_timestamp
156,-NFrJFQijFE$_$1,13,sure,72,76,13,sure,1,1,,,0,asr_empty_no_timestamp
157,-NFrJFQijFE$_$1,14,all,77,80,14,all,1,1,,,0,asr_empty_no_timestamp
158,-NFrJFQijFE$_$1,15,that,81,85,15,that,1,1,,,0,asr_empty_no_timestamp
159,-NFrJFQijFE$_$1,16,happens,86,93,16,happens,1,1,,,0,asr_empty_no_timestamp
160,-NFrJFQijFE$_$2,1,So,0,2,1,so,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
161,-NFrJFQijFE$_$2,2,we,3,5,2,we,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
162,-NFrJFQijFE$_$2,3,coordinate,6,16,3,coordinate,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
163,-NFrJFQijFE$_$2,4,with,17,21,4,with,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
164,-NFrJFQijFE$_$2,5,all,22,25,5,all,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
165,-NFrJFQijFE$_$2,6,the,26,29,6,the,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
166,-NFrJFQijFE$_$2,7,proper,30,36,7,proper,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
167,-NFrJFQijFE$_$2,8,technical,37,46,8,technical,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
168,-NFrJFQijFE$_$2,9,fields,47,53,9,fields,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
169,-NFrJFQijFE$_$2,10,to,54,56,10,to,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
170,-NFrJFQijFE$_$2,11,get,57,60,11,get,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
171,-NFrJFQijFE$_$2,12,ready,61,66,12,ready,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
172,-NFrJFQijFE$_$2,13,for,67,70,13,for,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
173,-NFrJFQijFE$_$2,14,the,71,74,14,the,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
174,-NFrJFQijFE$_$2,15,instrument,75,85,15,instrument,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
175,-NFrJFQijFE$_$2,16,to,86,88,16,to,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
176,-NFrJFQijFE$_$2,17,arrive,89,95,17,arrive,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
177,-NFrJFQijFE$_$2,18,here,96,100,18,here,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
178,-THoVjtIkeU$_$12,1,What,0,4,1,what,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
179,-THoVjtIkeU$_$12,2,ever,5,9,2,ever,1,1,,,0,official_word_unmatched_or_ambiguous_in_asr
180,-THoVjtIkeU$_$12,3,we,10,12,3,we,1,1,1.590000033378601,1.7400000095367432,1,mfa_primary_unique_word_overlap_auto_qc_pass
181,-THoVjtIkeU$_$12,4,turn,13,17,4,turn,1,1,1.7400000095367432,1.909999966621399,1,mfa_primary_unique_word_overlap_auto_qc_pass
182,-THoVjtIkeU$_$12,5,our,18,21,5,our,1,1,1.909999966621399,2.0399999618530273,1,mfa_primary_unique_word_overlap_auto_qc_pass
183,-THoVjtIkeU$_$12,6,attention,22,31,6,attention,1,1,2.0399999618530273,2.690000057220459,1,mfa_primary_unique_word_overlap_auto_qc_pass
184,-THoVjtIkeU$_$12,7,to,32,34,7,to,1,1,2.690000057220459,2.890000104904175,1,mfa_primary_unique_word_overlap_auto_qc_pass
185,-THoVjtIkeU$_$12,8,is,35,37,8,is,1,1,2.990000009536743,3.3299999237060547,1,mfa_primary_unique_word_overlap_auto_qc_pass
186,-THoVjtIkeU$_$12,9,what,38,42,9,what,1,1,3.3299999237060547,3.509999990463257,1,mfa_primary_unique_word_overlap_auto_qc_pass
187,-THoVjtIkeU$_$12,10,grows,43,48,10,grows,1,1,3.509999990463257,3.9700000286102295,1,mfa_primary_unique_word_overlap_auto_qc_pass
188,-THoVjtIkeU$_$12,11,and,49,52,11,and,1,1,4.349999904632568,4.489999771118164,1,mfa_primary_unique_word_overlap_auto_qc_pass
189,-THoVjtIkeU$_$12,12,so,53,55,12,so,1,1,4.489999771118164,4.679999828338623,1,mfa_primary_unique_word_overlap_auto_qc_pass
