sample_id,official_word_index,official_word,text_feature_row_0based,word_start_wav_s,word_end_wav_s,word_start_source_s,word_end_source_s,timestamp_evidence_tier,timestamp_status,text_valid_mask,word_time_valid_mask,audio_valid_mask,audio_f0_valid_mask,visual_valid_mask,visual_nearest_candidate_mask,audio_frame_start_index_0based,audio_frame_end_index_exclusive,audio_frame_count,f0_voiced_frame_count,visual_frame_start_index_0based,visual_frame_end_index_exclusive,visual_frame_count,visual_valid_face_frame_count,visual_status,nearest_visual_frame_index_0based,nearest_visual_distance_to_interval_s
-3g5yACwYnA$_$3,9,operation,23,4.690000057220459,5.260000228881836,4.690000057220459,5.260000228881836,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,470,527,57,55,47,53,6,6,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,10,called,24,5.630000114440918,5.820000171661377,5.630000114440918,5.820000171661377,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,0,1,0,564,583,19,0,57,59,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,11,flocking,25,5.820000171661377,6.289999961853027,5.820000171661377,6.289999961853027,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,583,629,46,34,59,63,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,12,and,26,6.420000076293945,6.809999942779541,6.420000076293945,6.809999942779541,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,0,1,0,643,681,38,0,65,69,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,13,we,27,6.960000038146973,7.110000133514404,6.960000038146973,7.110000133514404,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,697,712,15,15,70,72,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,14,don't,28,7.110000133514404,7.25,7.110000133514404,7.25,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,712,725,13,13,72,73,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,15,have,29,7.25,7.349999904632568,7.25,7.349999904632568,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,725,735,10,10,73,74,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,16,the,30,7.349999904632568,7.429999828338623,7.349999904632568,7.429999828338623,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,735,743,8,8,74,75,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,17,technical,31,7.429999828338623,8.050000190734863,7.429999828338623,8.050000190734863,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,743,806,63,44,75,81,6,6,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,18,inside,32,,,,,,official_word_unmatched_or_ambiguous_in_asr,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$3,19,compounding,33,9.369999885559082,10.029999732971191,9.369999885559082,10.029999732971191,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,937,1003,66,44,94,101,7,7,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,20,or,34,10.0600004196167,10.300000190734863,10.0600004196167,10.300000190734863,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,1007,1031,24,21,101,104,3,3,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,21,the,35,10.300000190734863,10.380000114440918,10.300000190734863,10.380000114440918,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,0,1,1031,1039,8,8,104,104,0,0,no_visual_frame_in_interval,103,1.9073486257070726e-07
-3g5yACwYnA$_$3,22,technical,36,10.380000114440918,10.789999961853027,10.380000114440918,10.789999961853027,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,1039,1079,40,10,104,108,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,23,expertise,37,10.789999961853027,11.279999732971191,10.789999961853027,11.279999732971191,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,1079,1128,49,39,108,113,5,5,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,24,to,38,11.279999732971191,11.369999885559082,11.279999732971191,11.369999885559082,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,1128,1137,9,7,113,114,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,25,do,39,11.369999885559082,11.489999771118164,11.369999885559082,11.489999771118164,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,1137,1149,12,12,114,115,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,26,these,40,11.489999771118164,11.710000038146973,11.489999771118164,11.710000038146973,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,1149,1172,23,20,115,118,3,3,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,27,types,41,11.710000038146973,11.970000267028809,11.710000038146973,11.970000267028809,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,1172,1198,26,8,118,120,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,28,of,42,11.970000267028809,12.0600004196167,11.970000267028809,12.0600004196167,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,1198,1207,9,5,120,121,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$3,29,things,43,12.0600004196167,12.399999618530273,12.0600004196167,12.399999618530273,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,1207,1240,33,30,121,124,3,3,in_interval_valid_face,-1,
-3g5yACwYnA$_$2,1,Key,44,,,,,A_exact_transcript,mfa_whisper_discrepancy_over_0_5s_null_primary,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$2,2,Polymer,45,,,,,A_exact_transcript,mfa_whisper_discrepancy_over_0_5s_null_primary,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$2,3,brings,46,,,,,A_exact_transcript,mfa_whisper_discrepancy_over_0_5s_null_primary,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$2,4,a,47,,,,,A_exact_transcript,mfa_whisper_discrepancy_over_0_5s_null_primary,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$2,5,technical,48,,,,,A_exact_transcript,mfa_whisper_discrepancy_over_0_5s_null_primary,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$2,6,aspect,49,4.28000020980835,4.75,4.28000020980835,4.75,A_exact_transcript,mfa_primary_exact_transcript_auto_qc_pass,1,1,1,1,1,0,429,475,46,17,43,48,5,5,in_interval_valid_face,-1,
-3g5yACwYnA$_$2,7,to,50,4.75,5.0,4.75,5.0,A_exact_transcript,mfa_primary_exact_transcript_auto_qc_pass,1,1,1,1,1,0,475,500,25,25,48,50,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$2,8,our,51,5.21999979019165,5.619999885559082,5.21999979019165,5.619999885559082,A_exact_transcript,mfa_primary_exact_transcript_auto_qc_pass,1,1,1,0,1,0,522,562,40,0,53,57,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$2,9,operation,52,5.809999942779541,6.489999771118164,5.809999942779541,6.489999771118164,A_exact_transcript,mfa_primary_exact_transcript_auto_qc_pass,1,1,1,1,1,0,581,649,68,65,59,65,6,6,in_interval_valid_face,-1,
-3g5yACwYnA$_$2,10,that,53,6.489999771118164,6.650000095367432,6.489999771118164,6.650000095367432,A_exact_transcript,mfa_primary_exact_transcript_auto_qc_pass,1,1,1,1,1,0,649,666,17,17,65,67,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$2,11,we,54,6.650000095367432,6.769999980926514,6.650000095367432,6.769999980926514,A_exact_transcript,mfa_primary_exact_transcript_auto_qc_pass,1,1,1,1,1,0,666,677,11,11,67,68,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$2,12,don't,55,6.769999980926514,7.010000228881836,6.769999980926514,7.010000228881836,A_exact_transcript,mfa_primary_exact_transcript_auto_qc_pass,1,1,1,1,1,0,677,702,25,21,68,71,3,3,in_interval_valid_face,-1,
-3g5yACwYnA$_$2,13,have,56,7.010000228881836,7.210000038146973,7.010000228881836,7.210000038146973,A_exact_transcript,mfa_primary_exact_transcript_auto_qc_pass,1,1,1,1,1,0,702,722,20,20,71,73,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$2,14,internally,57,7.210000038146973,7.699999809265137,7.210000038146973,7.699999809265137,A_exact_transcript,mfa_primary_exact_transcript_auto_qc_pass,1,1,1,1,1,0,722,770,48,46,73,77,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,1,We,58,0.75,0.8999999761581421,0.75,0.8999999761581421,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,75,90,15,15,8,9,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,2,have,59,0.8999999761581421,1.0800000429153442,0.8999999761581421,1.0800000429153442,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,90,109,19,18,9,11,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,3,many,60,1.0800000429153442,1.4700000286102295,1.0800000429153442,1.4700000286102295,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,109,148,39,30,11,15,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,4,new,61,1.6399999856948853,1.8899999856948853,1.6399999856948853,1.8899999856948853,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,164,189,25,25,17,19,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,5,opportunities,62,1.8899999856948853,2.490000009536743,1.8899999856948853,2.490000009536743,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,189,250,61,51,19,25,6,6,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,6,through,63,2.490000009536743,2.8299999237060547,2.490000009536743,2.8299999237060547,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,250,283,33,33,25,29,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,7,the,64,,,,,B_unique_word_overlap_in_mismatched_transcript,mfa_whisper_discrepancy_over_0_5s_null_primary,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3g5yACwYnA$_$9,8,way,65,3.4200000762939453,3.630000114440918,3.4200000762939453,3.630000114440918,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,343,364,21,21,35,37,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,9,things,66,3.630000114440918,3.890000104904175,3.630000114440918,3.890000104904175,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,364,390,26,25,37,39,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,10,have,67,3.890000104904175,3.990000009536743,3.890000104904175,3.990000009536743,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,390,400,10,10,39,40,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,11,changed,68,3.990000009536743,4.300000190734863,3.990000009536743,4.300000190734863,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,400,431,31,26,40,44,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,12,through,69,4.300000190734863,4.429999828338623,4.300000190734863,4.429999828338623,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,431,443,12,12,44,45,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,13,the,70,4.429999828338623,4.519999980926514,4.429999828338623,4.519999980926514,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,443,452,9,9,45,46,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,14,years,71,4.519999980926514,4.980000019073486,4.519999980926514,4.980000019073486,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,452,499,47,40,46,50,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,15,looking,72,5.630000114440918,5.849999904632568,5.630000114440918,5.849999904632568,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,564,585,21,21,57,59,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,16,for,73,5.849999904632568,6.0,5.849999904632568,6.0,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,585,600,15,13,59,60,1,1,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,17,new,74,6.0,6.199999809265137,6.0,6.199999809265137,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,600,620,20,20,60,62,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,18,niche,75,6.199999809265137,6.610000133514404,6.199999809265137,6.610000133514404,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,620,662,42,25,62,67,5,5,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,19,high,76,6.639999866485596,6.829999923706055,6.639999866485596,6.829999923706055,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,664,683,19,7,67,69,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,20,end,77,6.829999923706055,7.050000190734863,6.829999923706055,7.050000190734863,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,683,706,23,19,69,71,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,21,value,78,7.050000190734863,7.449999809265137,7.050000190734863,7.449999809265137,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,706,745,39,39,71,75,4,4,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,22,added,79,7.449999809265137,7.639999866485596,7.449999809265137,7.639999866485596,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,745,764,19,1,75,77,2,2,in_interval_valid_face,-1,
-3g5yACwYnA$_$9,23,products,80,7.639999866485596,8.130000114440918,7.639999866485596,8.130000114440918,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,764,814,50,32,77,82,5,5,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,1,Noncompliance,81,,,,,,official_word_unmatched_or_ambiguous_in_asr,1,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,no_primary_word_time,-1,
-3nNcZdcdvU$_$5,2,can,82,1.590000033378601,1.9500000476837158,1.590000033378601,1.9500000476837158,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,160,196,36,27,16,20,4,4,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,3,result,83,1.9500000476837158,2.6600000858306885,1.9500000476837158,2.6600000858306885,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,196,267,71,65,20,27,7,7,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,4,in,84,2.6600000858306885,2.819999933242798,2.6600000858306885,2.819999933242798,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,267,282,15,15,27,29,2,2,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,5,legal,85,2.819999933242798,3.069999933242798,2.819999933242798,3.069999933242798,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,282,307,25,23,29,31,2,2,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,6,liability,86,3.069999933242798,3.880000114440918,3.069999933242798,3.880000114440918,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,307,389,82,81,31,39,8,8,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,7,to,87,3.9700000286102295,4.119999885559082,3.9700000286102295,4.119999885559082,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,398,412,14,9,40,42,2,2,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,8,you,88,4.119999885559082,4.610000133514404,4.119999885559082,4.610000133514404,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,412,462,50,50,42,47,5,5,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,9,and,89,4.929999828338623,5.230000019073486,4.929999828338623,5.230000019073486,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,493,524,31,31,50,53,3,3,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,10,to,90,5.230000019073486,5.349999904632568,5.230000019073486,5.349999904632568,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,524,535,11,9,53,54,1,1,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,11,the,91,5.349999904632568,5.449999809265137,5.349999904632568,5.449999809265137,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,535,545,10,10,54,55,1,1,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,12,school,92,5.449999809265137,5.739999771118164,5.449999809265137,5.739999771118164,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,545,574,29,21,55,58,3,3,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,13,district,93,5.739999771118164,6.159999847412109,5.739999771118164,6.159999847412109,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,574,616,42,42,58,62,4,4,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,14,in,94,6.159999847412109,6.239999771118164,6.159999847412109,6.239999771118164,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,616,624,8,8,62,63,1,1,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,15,which,95,6.239999771118164,6.510000228881836,6.239999771118164,6.510000228881836,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,624,652,28,24,63,66,3,3,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,16,you,96,6.510000228881836,6.630000114440918,6.510000228881836,6.630000114440918,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,652,664,12,12,66,67,1,1,in_interval_valid_face,-1,
-3nNcZdcdvU$_$5,17,are,97,6.630000114440918,6.71999979019165,6.630000114440918,6.71999979019165,B_unique_word_overlap_in_mismatched_transcript,mfa_primary_unique_word_overlap_auto_qc_pass,1,1,1,1,1,0,664,672,8,8,67,68,1,1,in_interval_valid_face,-1,
