sample_id,transcript_group,official_word_count,whisper_word_count,official_whisper_exact_match,mfa_alignment_output_present,official_to_asr_unique_mappings,asr_to_mfa_unique_mappings,mfa_candidate_word_times,selected_primary_word_times,unmapped_words,flagged_mfa_intervals,flagged_whisper_mfa_discrepancies,median_mfa_whisper_edge_difference_s
-wny0OAz3g8$_$1,text_mismatch,22,26,False,True,22,26,22,22,0,0,0,0.07999990463256879
-wny0OAz3g8$_$0,text_mismatch,9,5,False,True,5,5,5,1,4,0,4,1.129999990463257
-wny0OAz3g8$_$3,text_mismatch,20,22,False,True,20,22,20,20,0,0,0,0.08999990463256857
-wny0OAz3g8$_$2,text_mismatch,23,25,False,True,23,25,23,23,0,0,0,0.04000001907348638
-wny0OAz3g8$_$5,exact_text,20,20,True,True,20,20,20,16,0,0,4,0.08000005722045866
-wny0OAz3g8$_$7,text_mismatch,29,31,False,True,29,31,29,29,0,0,0,0.07000017166137695
-wny0OAz3g8$_$9,text_mismatch,20,21,False,True,20,21,20,20,0,0,0,0.07999998092651328
-571d8cVauQ$_$0,exact_text,12,12,True,True,12,12,12,12,0,0,0,0.1000000572204589
-571d8cVauQ$_$5,text_mismatch,43,47,False,True,42,47,42,42,1,0,0,0.09999996185302695
-I_e4mIh0yE$_$1,exact_text,18,18,True,True,18,18,18,17,0,0,1,0.12000007629394549
-I_e4mIh0yE$_$3,text_mismatch,22,21,False,True,19,21,19,9,3,0,10,0.5000000572204586
-UacrmKiTn4$_$10,exact_text,18,18,True,True,18,18,18,18,0,0,0,0.13000015258789066
-UacrmKiTn4$_$4,text_mismatch,14,15,False,True,14,15,14,14,0,0,0,0.06999999999999995
-hnBHBN8p5A$_$7,text_mismatch,13,14,False,True,0,14,0,0,13,0,0,
-hnBHBN8p5A$_$6,text_mismatch,13,13,False,True,1,13,1,0,12,0,1,0.7599998092651363
-qDkUB0GgYY$_$6,text_mismatch,16,21,False,True,16,21,16,16,0,0,0,0.06000007629394544
-uywlfIYOS8$_$4,text_mismatch,18,19,False,True,17,19,17,5,1,0,12,0.6900000262260437
-6rXp3zJ3kc$_$8,text_mismatch,34,36,False,True,32,36,32,30,2,0,2,0.08000009536743136
-9y-fZ3swSY$_$0,text_mismatch,22,25,False,True,17,25,17,17,5,0,0,0.05999977111816435
-9y-fZ3swSY$_$4,exact_text,9,9,True,True,9,9,9,9,0,0,0,0.06999999999999995
-9y-fZ3swSY$_$8,text_mismatch,12,13,False,True,12,13,12,12,0,0,0,0.139999895095825
-AUZQgSxyPQ$_$2,text_mismatch,41,42,False,True,35,42,35,34,6,0,1,0.1399998092651371
-HeZS2-Prhc$_$2,text_mismatch,16,19,False,True,15,19,15,13,1,0,2,0.1299999618530272
-MeTTeMJBNc$_$0,exact_text,21,21,True,True,21,21,21,20,0,0,1,0.13000011444091797
-MeTTeMJBNc$_$13,text_mismatch,14,16,False,True,14,16,14,14,0,0,0,0.12000011444091818
-MeTTeMJBNc$_$7,text_mismatch,31,32,False,True,30,32,30,29,1,0,1,0.1100001144409184
-RfYyzHpjk4$_$11,exact_text,17,17,True,True,17,17,17,15,0,0,2,0.07999999523162837
-RfYyzHpjk4$_$8,text_mismatch,17,17,False,True,16,17,16,16,1,0,0,0.06000002861022957
-RfYyzHpjk4$_$2,text_mismatch,25,25,False,True,24,25,24,24,1,0,0,0.05000002861022956
-UUCSKoHeMA$_$0,text_mismatch,18,19,False,True,18,19,18,18,0,0,0,0.10999979019165007
-ri04Z7vwnc$_$0,text_mismatch,8,3,False,True,0,3,0,0,8,0,0,
-ri04Z7vwnc$_$2,text_mismatch,16,3,False,True,0,3,0,0,16,0,0,
-ri04Z7vwnc$_$5,text_mismatch,8,14,False,True,1,14,1,1,7,0,0,0.09975000000000023
-s9qJ7ATP7w$_$1,text_mismatch,11,13,False,True,10,13,10,7,1,0,3,0.13000003814697259
-s9qJ7ATP7w$_$0,text_mismatch,24,22,False,True,18,22,18,18,6,0,0,0.11000001907348622
-s9qJ7ATP7w$_$5,text_mismatch,19,22,False,True,19,22,19,18,0,0,1,0.09000001907348643
-s9qJ7ATP7w$_$4,text_mismatch,9,13,False,True,8,13,8,8,1,0,0,0.12000002145767213
-s9qJ7ATP7w$_$7,text_mismatch,28,31,False,True,28,31,28,28,0,0,0,0.05999997615814201
-s9qJ7ATP7w$_$6,text_mismatch,5,7,False,True,5,7,5,5,0,0,0,0.1500000262260437
-s9qJ7ATP7w$_$8,text_mismatch,12,16,False,True,12,16,12,12,0,0,0,0.03999995231628417
-yRb-Jum7EQ$_$1,empty_asr,49,0,False,False,0,0,0,0,0,0,0,
-yRb-Jum7EQ$_$5,text_mismatch,25,38,False,True,2,38,2,0,23,0,2,1.33
-yRb-Jum7EQ$_$6,text_mismatch,19,36,False,False,3,0,0,0,0,0,0,
