mfa_utterance_id,sample_id,audio_path,lab_path,whisper_transcript,whisper_lexical_word_count,audio_duration_s,wav_sha256,source_audio_start_s
sample_0016,-UuX1xuaiiE$_$3,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0016.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0016.lab,My goal is to become a human rights lawyer.,9,4.038,e30c5f4541a60031864b5d8379a8de30641ac7ba8d025b6512c727cb3a2a47bb,0.0
sample_0017,-UuX1xuaiiE$_$6,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0017.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0017.lab,"I ended up going to work for the U.S. government as an intelligence analyst, specializing in war crimes and human rights issues.",23,7.9438125,08b5fa73f5581e4f9a54dfe4945fb42bb085b7ac5cf29df58c848163b5b75145,0.0
sample_0018,-a55Q6RWvTA$_$3,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0018.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0018.lab,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature, and try to take up things in life that, well, they always say, the best things in life are free. Reading a book, going for a nice walk, and of course combining exercise and various things of that nature, where you're not spending money, per se.",65,22.0833125,8b85cd9e18f0656e0e4aefc49f03ff83e12394aef1114ed2ff8feaa0b090be5b,0.0
sample_0019,-aNfi7CP8vM$_$7,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0019.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0019.lab,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",18,8.5376875,9008e5f7ec84b6c9a36db45b2bc38679efd7e3ab92ef727614786c43a2177d22,0.0
sample_0020,-aqamKhZ1Ec$_$0,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0020.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0020.lab,"In 2008, there were very serious tribal warfare in Kenya and even following a disputed election.",16,10.89,1653cb1a5fa3caa9943794a4c34f5db5745ebb298a8cdba83532c648d185ec6a,0.0
sample_0021,-dxfTGcXJoc$_$1,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0021.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0021.lab,"For the tenth straight year, some of Kentucky's best and most innovative biotech companies and technologies were on display at the annual Bio International Convention, which I and other state officials attended this week in Chicago.",36,16.018125,a65ba36aa2897e1655896ff604e446fd14098c940d640557d9f4135ad32c8462,0.0
sample_0022,-dxfTGcXJoc$_$0,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0022.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0022.lab,"This is Governor Steve Beshear ... About Kentucky. Our state is home to more than 1,500 bioscience and life science companies, and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices. For more information, visit www.fema.gov",51,20.41,fa4d7a9921c36a776c21e36bef3dfbcf93a25982a29a667fe8613726aa9cd41d,0.0
sample_0023,-dxfTGcXJoc$_$2,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0023.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0023.lab,"An estimated 20,000 biotech scientists, executives, and industry experts from more than 50 nations were at the bio conference to learn about the latest scientific advances and to exchange ideas and establish business relationships.",35,16.633,e6f9281095e639967f513b0fe4466ca33407638fe20d11cd5c7d2a9473495eaa,0.0
sample_0024,-dxfTGcXJoc$_$6,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0024.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0024.lab,Kentucky's participation at the annual Bio-International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,28,12.628,100774f7587553a4014639a9006f8a31df5262c9b389e0316994b9ea7f5ede8e,0.0
sample_0025,-egA8-b7-3M$_$26,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0025.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0025.lab,We are updating it all the time and looking forward to your comments on our videos.,16,5.92,f0e8548d55954536889313d95eddab0f0f841b2c6e8cf193fe550798ccaa8254,0.0
sample_0026,-egA8-b7-3M$_$17,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0026.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0026.lab,"As you have more experience, you have more times exhibiting, you get to know more people.",16,7.095,5806d44ff8ea4dbca87b283607a818339de620f1a18007ad98a9f2a3a871664e,0.0
sample_0027,-egA8-b7-3M$_$18,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0027.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0027.lab,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,22,8.2656875,252a59173d796db14c773892148c4c3a9dafee9cc0bc5f434d61e5a4c4b6ac1c,0.0
sample_0028,-egA8-b7-3M$_$16,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0028.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0028.lab,"Third, another big benefit of exhibiting is connecting with existing clients.",11,5.483,adf98468b423ce10eccc9a2d0f526dddcee2bd5c73aa38daed06023356f078ec,0.0
sample_0029,-egA8-b7-3M$_$13,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0029.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0029.lab,What are you doing that's different? They always want an answer.,11,4.023875,2f89c4f863a0c9e2b8accb01a17a9dc21c3a00d52d3b62c5adca17b87bf86a83,0.0
sample_0030,-egA8-b7-3M$_$1,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0030.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0030.lab,I have started a successful legal nurse consulting business in 1989. I mentor nurses who want to become legal nurse consultants.,21,10.156,009cfba1f35b407ff508de5ab849afbca309ad0a950004fe38b11115964ee29b,0.0
sample_0031,-egA8-b7-3M$_$6,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0031.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0031.lab,"First, exhibiting is a wonderful opportunity to network with other legal vendors.",12,6.183,ee995c68a007c1b45ed6d984cea7d002ad2f137aad90761a70679fcc5605f13b,0.0
sample_0032,-egA8-b7-3M$_$9,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0032.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0032.lab,"Secondly, another goal of exhibiting is building your company image.",10,4.936,a4d259ef5771f29f25ec85048efdea7c4e0f3432b9a30e88e150573b7b4c012a,0.0
sample_0033,-egA8-b7-3M$_$20,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0033.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0033.lab,Now you've got a face that you can connect with a voice and that makes you closer to that client.,20,6.4744375,8bcd1b9a30e78c42fc847a24f87e4e45ff614a120e231bf1fbb06e0bc8a9fff5,0.0
sample_0034,-iRBcNs9oI8$_$3,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0034.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0034.lab,"is going to help you on your tests, such as TOEFL, IELTS, or university.",14,5.538,0e87de9764def5a4b8ce6ab91bc7aab7d5317fa8b90b005c9af29af89f0f96c0,0.0
sample_0035,-iRBcNs9oI8$_$7,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0035.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0035.lab,interview. And this secret will also help you if you ever...,11,4.00575,c04ca466f32ebb093a87247290fc5874d5c826b345362125c9427ad3dd8ca282,0.0
sample_0036,-iRBcNs9oI8$_$6,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0036.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0036.lab,help you if you have an English job interview.,9,2.8204375,54c9879874fa8fe072f2f0540c986646a912b1b4072dc4eec693fb226c498a81,0.0
sample_0037,-iRBcNs9oI8$_$9,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0037.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0037.lab,of Power Pose.,3,3.374,a3c9cc78d25811313001d222baed35f27e8397c99ea864a0162a0e2e86f86936,0.0
sample_0038,-iRBcNs9oI8$_$8,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0038.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0038.lab,"ever decide to ask out that special someone. So what is the secret I'm telling you about? Well, it is the secret...",22,8.026,764393f39a955eb8af20198192a41605bf566b0d5ed1853019ad0261abef4b93,0.0
sample_0039,-lzEya4AM_4$_$5,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0039.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0039.lab,"If it falls into any of those three categories, inducing, nausea and vomiting would be your next step.",18,7.5696875,8ca981817ebaf638ea89b82d148575efc18e1fa617da5326fb7b0b536dece9c5,0.0
sample_0040,-lzEya4AM_4$_$6,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0040.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0040.lab,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea. As the product burned on the way down, it could cause damage in burning on the way back up.",42,14.740375,c94355db803e2b0db47d311b41f86598b1064543a4fda9a78463e8794a766058,0.0
sample_0041,-mJ2ud6oKI8$_$1,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0041.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0041.lab,You,1,6.054,1f8b38b95511f84a7770416186c955f99fa26ad2b182050ef0c17578fd087343,0.0
sample_0042,-mJ2ud6oKI8$_$2,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0042.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0042.lab,You,1,5.7016875,6b9e62244b6573ac1f3fca3909582b2ab997b3fe09479bc03001f06b05855fce,0.0
sample_0043,-mJ2ud6oKI8$_$6,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0043.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0043.lab,that we all want to approach really any.,8,2.228125,f75f302b5918446527f909dbd7386fd8348bf945d26a88df84f7c884cec82de2,0.0
sample_0044,-mJ2ud6oKI8$_$9,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0044.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0044.lab,to find out because you might have hip osteoarthritis but that you could also have other you know dysfunctions around your,21,6.90875,560105e1d05f3b3362ee5dd6017775a713296436b80858d0a7f67cf071b92ea7,0.0
sample_0045,-mJ2ud6oKI8$_$8,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0045.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0045.lab,"We want to evaluate them, you know, give them a full thorough evaluation to find...",15,4.171375,6fc367ff29c1d4a8e32e66c5da3e4194521880310158e6c44a3a527f4befbc43,0.0
sample_0046,-mqbVkbCndg$_$0,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0046.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0046.lab,"How at a particular moment in time, our moment in time, are they limited?",14,6.385,0c1c6ba301382581d1b6f1329269f897f85e4c1ad64ce2ad37b90050b8379001,0.0
sample_0047,-t217m2on-s$_$2,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0047.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0047.lab,But a good thing to do is yawning. Chewing gum is effective.,12,5.63,0580d0bb64d20725fbdb8aff86b8b34f9ed0aa0fb1ddc99710f23d9b2e095a3e,0.0
sample_0048,-t217m2on-s$_$7,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0048.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0048.lab,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things. It could be something more of a nasal infection or a sinus infection that he would need to deal with.",45,17.026,57ae9f8bcf206cbbfe3f7a346427c8eec8769e993224f5acbc3cc17d78b27f7a,0.0
sample_0049,-tANM6ETl_M$_$3,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0049.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0049.lab,The first place is either you have a prospect or a customer who's never done it before. They've never tried it.,21,6.603625,4fa1bb2d1e04aa7557e2ac8f099af67aa0b412a288c903005d96dafc578b9084,0.0
sample_0050,-tPCytz4rww$_$11,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0050.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0050.lab,"So make sure that you're using comps that are no larger than 1,200 square feet, no less.",18,5.378,19c19217b7a8ec251c9c9bf4ebcbb6b046cf6661202cec4b592bd593640d260d,0.0
sample_0051,-tPCytz4rww$_$10,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0051.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0051.lab,"footage, say 20%. So if you've got a thousand square foot condo, make sure",14,4.678,5ac077d7be40087d267370d04387757a6214fb8cda5b8f1b0debbcdc18bf21fa,0.0
sample_0052,-tPCytz4rww$_$12,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0052.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0052.lab,"square feet, no less than 800 square feet, and going to be similar with bedrooms and bathrooms as well, and hopefully the complexes have similar amenities.",26,11.736,a5e467a832c5eb3e4ca1e57ab96aef04db1513785d605c1a56c56269e2cb8126,0.0
sample_0053,-tPCytz4rww$_$16,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0053.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0053.lab,"So, make sure to get a thorough, or to do a thorough cleaning of the property if you need",19,7.139,2ffc3f28789e9b3289c99ee81b11668b9d18e552048dd8e00d680fa7680c5ea7,0.0
sample_0054,-tPCytz4rww$_$18,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0054.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0054.lab,"out, do so, and as well, you'll also want to remove any clutter from the home that you've accumulated over a period of time.",24,6.5688125,bf50b1480ef2eaee2e2eed1355b628885cba574492687e897177d8301bf1448b,0.0
sample_0055,-vxjVxOeScU$_$4,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0055.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0055.lab,"You're going to talk about their life, their marriage, and usually how amazing it is that they've stayed together this long.",21,9.037,68ce163e96d1d062b8fa0fd31fc26929b2a2ccdf87e0a1cac94527c5e6d3137f,0.0
sample_0056,-wMB_hJL-3o$_$7,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0056.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0056.lab,"So, if you have a loved one who is depressed, those are some of the things that you should think about doing.",22,5.9755625,5d3beae0093f09a280755fa2e689ddf2c716ab630aa493354d9ff277986ae60a,0.0
sample_0057,-wny0OAz3g8$_$1,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0057.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0057.lab,"to join. And because they couldn't join unions, many black workers couldn't get manufacturing or trade work, which paid much better than service work. And because",26,6.776,9e335eb4b29141d08831c972922bb7d0bda9e96cbf0bad242d0ea4bf28465991,0.0
sample_0058,-wny0OAz3g8$_$0,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0058.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0058.lab,allow black workers to join.,5,3.274,c59ab20463ed486961dcac88246ac030dfbfdf7cbeee18f1162772038f6730ef,0.0
sample_0059,-wny0OAz3g8$_$3,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0059.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0059.lab,which then allowed the white workers and unions to justify their decision to not allow black workers into their union. The prevailing—,22,6.099875,c82216a042d50bb0070852360522fbb6a6433d138bd8c6dd949c0e7ffa49c631,0.0
sample_0060,-wny0OAz3g8$_$2,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0060.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0060.lab,"service work. And because they couldn't get these jobs, black communities had more men out of work, higher rates of poverty, and more criminal behavior.",25,6.5226875,f932d228f3933ad0a1012242c9b83ba01dc83852fa0d34f1abd3af9984c64be0,0.0
sample_0061,-wny0OAz3g8$_$5,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0061.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0061.lab,"This is what's now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant.",20,6.741,65dd72a421eb080ecfc18a25c0e9eea58b4e6389e2eae3fc58381b8d44644578,0.0
sample_0062,-wny0OAz3g8$_$7,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0062.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0062.lab,forces. Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent. Another-,32,7.9105,6ed27c7bf72f60dc3be4f761b77f2899479031786905ce5f5f938dfcb40abf2a,0.0
sample_0063,-wny0OAz3g8$_$9,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0063.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0063.lab,"Wilson. He explores why black and white Americans tend to have such different outcomes in terms of income, education, and more.",21,6.043,f90ffb0ac25d0c2ed4b5cbaad0fe7d7df67e3939c6bb38542d270d2b545e0416,0.0
sample_0064,-571d8cVauQ$_$0,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0064.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0064.lab,"This is Rhett Reiger, White Caspian Studios, on behalf of Expert Village.",12,4.992,c6dfde032770023ed9709b40ba5c9c755bbb4e1e3d7a8f37129d657f3869d3a6,0.0
sample_0065,-571d8cVauQ$_$5,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0065.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0065.lab,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there, and let everybody know this is a very valuable spot. This is going to...",47,15.115,0ddf85749f064be058fb452ae1600641a443fb4ba1d8cf1823724a1f969a5e9e,0.0
sample_0066,-I_e4mIh0yE$_$1,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0066.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus_whisper\audio\sample_0066.lab,In the United States we don't punish failure to the degree to which failure is punished in Europe.,18,7.444,42915f8f07d35b9e45fbcb07a767ce3cde94eed4fd50739fb87d53d496ed63a7,0.0
