mfa_utterance_id,sample_id,video_id,clip_id,official_transcript,wav_path,lab_path,wav_sha256,audio_duration_s,wav_zero_maps_to_source_time_s,selection_reason
sample_0011,-egA8-b7-3M$_$17,-egA8-b7-3M,17,"As you have more experience, you have more times exhibiting, you get to know more people.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0011.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0011.lab,5806d44ff8ea4dbca87b283607a818339de620f1a18007ad98a9f2a3a871664e,7.095,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0012,-egA8-b7-3M$_$18,-egA8-b7-3M,18,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0012.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0012.lab,252a59173d796db14c773892148c4c3a9dafee9cc0bc5f434d61e5a4c4b6ac1c,8.2656875,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0013,-egA8-b7-3M$_$16,-egA8-b7-3M,16,"Third, another big benefit of exhibiting is connecting with existing clients.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0013.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0013.lab,adf98468b423ce10eccc9a2d0f526dddcee2bd5c73aa38daed06023356f078ec,5.483,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0014,-egA8-b7-3M$_$13,-egA8-b7-3M,13,"What are you doing that's different?"" They always want an answer.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0014.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0014.lab,2f89c4f863a0c9e2b8accb01a17a9dc21c3a00d52d3b62c5adca17b87bf86a83,4.023875,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0015,-egA8-b7-3M$_$6,-egA8-b7-3M,6,First exhibiting is a wonderful opportunity to network with other legal vendors.,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0015.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0015.lab,ee995c68a007c1b45ed6d984cea7d002ad2f137aad90761a70679fcc5605f13b,6.183,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0016,-egA8-b7-3M$_$9,-egA8-b7-3M,9,"Secondly, another goal of exhibiting  is building your company image.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0016.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0016.lab,a4d259ef5771f29f25ec85048efdea7c4e0f3432b9a30e88e150573b7b4c012a,4.936,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0017,-egA8-b7-3M$_$20,-egA8-b7-3M,20,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0017.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0017.lab,8bcd1b9a30e78c42fc847a24f87e4e45ff614a120e231bf1fbb06e0bc8a9fff5,6.4744375,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0018,-mqbVkbCndg$_$0,-mqbVkbCndg,0,"How, at a particular moment in time—our moment in time—are they limited",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0018.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0018.lab,0c1c6ba301382581d1b6f1329269f897f85e4c1ad64ce2ad37b90050b8379001,6.385,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0019,-t217m2on-s$_$2,-t217m2on-s,2,"But a good thing to do is yawning, chewing gum is effective.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0019.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0019.lab,0580d0bb64d20725fbdb8aff86b8b34f9ed0aa0fb1ddc99710f23d9b2e095a3e,5.63,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0020,-t217m2on-s$_$7,-t217m2on-s,7,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0020.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0020.lab,57ae9f8bcf206cbbfe3f7a346427c8eec8769e993224f5acbc3cc17d78b27f7a,17.026,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0021,-vxjVxOeScU$_$4,-vxjVxOeScU,4,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0021.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0021.lab,68ce163e96d1d062b8fa0fd31fc26929b2a2ccdf87e0a1cac94527c5e6d3137f,9.037,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0022,-wMB_hJL-3o$_$7,-wMB_hJL-3o,7,So if you have a loved one who is depressed those are some of the things that you should think about doing.,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0022.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0022.lab,5d3beae0093f09a280755fa2e689ddf2c716ab630aa493354d9ff277986ae60a,5.9755625,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0023,-wny0OAz3g8$_$5,-wny0OAz3g8,5,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0023.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0023.lab,65dd72a421eb080ecfc18a25c0e9eea58b4e6389e2eae3fc58381b8d44644578,6.741,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0024,-571d8cVauQ$_$0,-571d8cVauQ,0,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0024.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0024.lab,c6dfde032770023ed9709b40ba5c9c755bbb4e1e3d7a8f37129d657f3869d3a6,4.992,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0025,-I_e4mIh0yE$_$1,-I_e4mIh0yE,1,In the United States we don't punish failure to the degree to which failure is punished in Europe.,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0025.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0025.lab,42915f8f07d35b9e45fbcb07a767ce3cde94eed4fd50739fb87d53d496ed63a7,7.444,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0026,-UacrmKiTn4$_$10,-UacrmKiTn4,10,"Because, if they are not in any way held accountable for reading the material they won't do it.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0026.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0026.lab,4e434b1bd14755dd84b6eead3367d1dfa46e6baaac8b68a57cc327d1d6a19c4d,7.242,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0027,-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,I’ve seen this in US or in the US,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0027.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0027.lab,5113150bd488b5991fcc329335318f6568e8b0811d307815eda52d72e92e560d,2.6648125,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0028,-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0028.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0028.lab,76b07be7e0728143032ae5a103352023325da3e2216521385788b663e30d2cdb,9.218,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
sample_0029,-RfYyzHpjk4$_$11,-RfYyzHpjk4,11,"So get your friends lined up, get your business colleagues lined up and have a good time.",C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0029.wav,C:\Users\Administrator\Desktop\23华为杯\E.1\MFA\corpus\audio\sample_0029.lab,a7e25762646fda57ac8acd49c47abcdef4e803983c96efbdff4842e82029aadf,5.074,0.0,题目原文与Whisper转写在保守归一化后词序列完全一致
