序号,sample_id,原始视频相对路径,原始Excel行号,原始视频SHA256,视频有效时长_s,WAV有效时长_s,原文词数_有效长度,主时间有效词数,声学有效词数,视觉有效词数,声学原始帧数,视觉采样帧数,视觉有效帧数,文本维度,声学维度,视觉维度,对齐粒度,文本全量矩阵,文本全量矩阵起始行_0based,文本全量矩阵结束行_exclusive,声学逐帧文件,声学逐帧SHA256,视觉逐帧文件,视觉逐帧SHA256,词级三模态文件,词级三模态SHA256
11,-NFrJFQijFE$_$2,-NFrJFQijFE/2.mp4,12,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1,6.856,6.698,18,0,0,0,670,68,0,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,160,178,E.1/结果/06_Librosa74/逐样本/-NFrJFQijFE$_$2.npz,6568b21b231a2132df065366ff0839f1807bd5d6dcac54965d3add386aefec1f,E.1/结果/07_FaceLandmarker52/逐样本/-NFrJFQijFE$_$2.npz,949e58269eb741db97bd0e58f9822bc8b7849d5fc2acf88df0a0f18fa4562f79,E.1/结果/08_原文词级跨模态对齐/逐样本/-NFrJFQijFE$_$2.npz,3869bf20233c1f48166a89ccd6d398fc7c45ffc4f0e7e416cc23008a21e2dde4
12,-THoVjtIkeU$_$12,-THoVjtIkeU/12.mp4,13,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4,14.896029,14.805,39,35,35,35,1481,149,149,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,178,217,E.1/结果/06_Librosa74/逐样本/-THoVjtIkeU$_$12.npz,c15d23ece5e0a88b6ef4d003bc664e1c553496ccbb6923be825e8d229dcb6b59,E.1/结果/07_FaceLandmarker52/逐样本/-THoVjtIkeU$_$12.npz,50acde2884dcd4212b47313f2b056fc41bb43cb58e606ac7209f9a0c6e8bf150,E.1/结果/08_原文词级跨模态对齐/逐样本/-THoVjtIkeU$_$12.npz,a4dbf6867ad1b4ce0d098aaa0828c0bae757e563aa131ffc05a5cc5dac878df3
13,-THoVjtIkeU$_$2,-THoVjtIkeU/2.mp4,14,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b,4.291992,4.23,10,10,10,9,423,43,43,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,217,227,E.1/结果/06_Librosa74/逐样本/-THoVjtIkeU$_$2.npz,6823deff15c24b80163e34420c805a84cda0ff596c7de80cc52e22b577d054ac,E.1/结果/07_FaceLandmarker52/逐样本/-THoVjtIkeU$_$2.npz,00247b326aa60b2a19cf06dcc0bf5a55459c7d2aebf0cd112eb32ed5ea7f3765,E.1/结果/08_原文词级跨模态对齐/逐样本/-THoVjtIkeU$_$2.npz,f51deed570b0c95c9fc796ba64e589ebcb1f4ec0b5f1832b0e55df25c6858575
14,-THoVjtIkeU$_$6,-THoVjtIkeU/6.mp4,15,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64,8.097005,7.982875,30,25,25,25,799,81,81,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,227,257,E.1/结果/06_Librosa74/逐样本/-THoVjtIkeU$_$6.npz,7a71bfe553bb3be9b3274faefb09e356934dd7fb913db2fd46817bfd42a01690,E.1/结果/07_FaceLandmarker52/逐样本/-THoVjtIkeU$_$6.npz,d1e2ada8489cfe01c7a97c15ae5a1bab8ec5023bfdb925ec126159732974c8aa,E.1/结果/08_原文词级跨模态对齐/逐样本/-THoVjtIkeU$_$6.npz,800468eee1260e233d4d554599d9cb278de93891e73fb56aa0a3efc0edb47076
15,-UuX1xuaiiE$_$1,-UuX1xuaiiE/1.mp4,16,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c,10.35,10.267,27,24,24,0,1027,104,5,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,257,284,E.1/结果/06_Librosa74/逐样本/-UuX1xuaiiE$_$1.npz,da158cebf41f074b57b72cb058c6ed9f818c81c34be66f424c116e6f136d91a8,E.1/结果/07_FaceLandmarker52/逐样本/-UuX1xuaiiE$_$1.npz,8b45d9c7a8cc03cf67739b5acdda5094abfe0653d547ada13e674f4eb475ab7b,E.1/结果/08_原文词级跨模态对齐/逐样本/-UuX1xuaiiE$_$1.npz,bdb8d69c241c4733610cbb622e87c67f1daa1d8d853f821053138a00ebd6cdf3
16,-UuX1xuaiiE$_$0,-UuX1xuaiiE/0.mp4,17,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8,3.633333,3.575875,9,9,9,6,358,37,18,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,284,293,E.1/结果/06_Librosa74/逐样本/-UuX1xuaiiE$_$0.npz,e6781f8313f6eb8f0426c3b5984efba4b11306a8ea6a0397ca395c3b6b94df43,E.1/结果/07_FaceLandmarker52/逐样本/-UuX1xuaiiE$_$0.npz,21cdcd9bfe92c584465cd910ed3f9363aaf8b830ed10744be0bd7aa26435c82b,E.1/结果/08_原文词级跨模态对齐/逐样本/-UuX1xuaiiE$_$0.npz,83540b9a0b717d3c1c486017fe4b7a64f19dc744a7dd897c50b2d10a8334b26f
17,-UuX1xuaiiE$_$3,-UuX1xuaiiE/3.mp4,18,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa,4.130013,4.038,9,7,7,7,404,41,41,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,293,302,E.1/结果/06_Librosa74/逐样本/-UuX1xuaiiE$_$3.npz,c0ed662a7681458e6f9f868811ff222a3062caf7b4da1dab0605c1f916976964,E.1/结果/07_FaceLandmarker52/逐样本/-UuX1xuaiiE$_$3.npz,325f27d921ba376412002af7f3f902b9036d984ba709febbc53c07241d4a51cf,E.1/结果/08_原文词级跨模态对齐/逐样本/-UuX1xuaiiE$_$3.npz,b8c4373482b2a966cd5f479f86f1a7e3d78ce68aa20a66727a9fc186286af380
18,-UuX1xuaiiE$_$6,-UuX1xuaiiE/6.mp4,19,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532,8.113997,7.9438125,22,20,20,18,795,81,76,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,302,324,E.1/结果/06_Librosa74/逐样本/-UuX1xuaiiE$_$6.npz,2c88345da5d99030e88fc288cac14a7f59325d7e6670d8f365485a417d4b2634,E.1/结果/07_FaceLandmarker52/逐样本/-UuX1xuaiiE$_$6.npz,ea4e94aefba73a01a7a1107ccc87f4735c866c4d78f671deb313f436a12d71ae,E.1/结果/08_原文词级跨模态对齐/逐样本/-UuX1xuaiiE$_$6.npz,704a1c4a96369342448b0b80c7ee07048816f88c3c8f082b459fbf8dbb18ae18
19,-a55Q6RWvTA$_$3,-a55Q6RWvTA/3.mp4,20,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946,22.153971,22.0833125,65,64,64,61,2209,222,222,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,324,389,E.1/结果/06_Librosa74/逐样本/-a55Q6RWvTA$_$3.npz,d5b3c20d7a12502d7e18933dd0958dd85a661ccef0974c9431733c5df594f8ed,E.1/结果/07_FaceLandmarker52/逐样本/-a55Q6RWvTA$_$3.npz,25831b4042891e83f32430a7eed8a05df72f262a38a310131ee626de4de09785,E.1/结果/08_原文词级跨模态对齐/逐样本/-a55Q6RWvTA$_$3.npz,736a2e25819a91c0cce24cfe0191bf50c4e92d782a2e905574f025f60b75fe44
20,-aNfi7CP8vM$_$7,-aNfi7CP8vM/7.mp4,21,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1,8.694987,8.5376875,18,18,18,18,854,87,87,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,389,407,E.1/结果/06_Librosa74/逐样本/-aNfi7CP8vM$_$7.npz,8c76769a9b482cf2c39215725e31cb7c09e0d6a59bc5a7105552f89964ad32db,E.1/结果/07_FaceLandmarker52/逐样本/-aNfi7CP8vM$_$7.npz,107e0bc50c34a04586dad1140401ac53b887e0fcc1deb6f32202dee89cd5b839,E.1/结果/08_原文词级跨模态对齐/逐样本/-aNfi7CP8vM$_$7.npz,64ac8af1dfe45efa31b2ec9e041adc7a04211783ef72c194762a96034084c068
21,-aqamKhZ1Ec$_$0,-aqamKhZ1Ec/0.mp4,22,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548,10.966667,10.89,14,12,12,12,1089,110,110,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,407,421,E.1/结果/06_Librosa74/逐样本/-aqamKhZ1Ec$_$0.npz,b970bfffa46e1d065769702d689ef217e56ab373ace1c906e32154e0a2e06102,E.1/结果/07_FaceLandmarker52/逐样本/-aqamKhZ1Ec$_$0.npz,ef696347c6d32df80d8f28f77bfe8b6c3757b5df4695c142e344a5d1d690105d,E.1/结果/08_原文词级跨模态对齐/逐样本/-aqamKhZ1Ec$_$0.npz,8c028974aa3124f84782a51d29a3696ce2fd5a9402ecf83a11c7c49f6bcec4de
22,-dxfTGcXJoc$_$1,-dxfTGcXJoc/1.mp4,23,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595,16.161003,16.018125,36,35,35,35,1602,162,162,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,421,457,E.1/结果/06_Librosa74/逐样本/-dxfTGcXJoc$_$1.npz,0e41f7a0446272df3e471522fcb53d4838e0c080416526eb33b3fefaecfe9562,E.1/结果/07_FaceLandmarker52/逐样本/-dxfTGcXJoc$_$1.npz,9f3c53d2cda5e8bb67cc75b93ffd1d8b19fe8f801ce8cb6157f62d28b95675c1,E.1/结果/08_原文词级跨模态对齐/逐样本/-dxfTGcXJoc$_$1.npz,a75a4b51e1afa661579fdb784143cf0298691cbe59f4ad59c3f24ea424f722a4
23,-dxfTGcXJoc$_$0,-dxfTGcXJoc/0.mp4,24,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55,20.5,20.41,42,0,0,0,2041,206,160,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,457,499,E.1/结果/06_Librosa74/逐样本/-dxfTGcXJoc$_$0.npz,b11c43061e0ce66bad1bcbe0a71a8276f2eb72d88920d8baba7f2a59148a8474,E.1/结果/07_FaceLandmarker52/逐样本/-dxfTGcXJoc$_$0.npz,ea598a244da14992bbc37a3d0a0d69aaaa6d9c006e736d8f27cc5270b5e9c4a8,E.1/结果/08_原文词级跨模态对齐/逐样本/-dxfTGcXJoc$_$0.npz,3f09673e0edabe62e8a59cf00ded9189c492b0b785a1779c3bbb5693d109d32d
24,-dxfTGcXJoc$_$2,-dxfTGcXJoc/2.mp4,25,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7,16.697982,16.633,35,33,33,33,1664,167,167,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,499,534,E.1/结果/06_Librosa74/逐样本/-dxfTGcXJoc$_$2.npz,e71f3075d8fad98e89dddbfe14eb7c09c0c6aa343d524053a2facf58f3cf1985,E.1/结果/07_FaceLandmarker52/逐样本/-dxfTGcXJoc$_$2.npz,350d9fdf79cb66d3b2a7b6127448c3ff007f3fce8ef6e9c91a57f30d4945adf7,E.1/结果/08_原文词级跨模态对齐/逐样本/-dxfTGcXJoc$_$2.npz,911587e154b7d022c105ecf92ace3a739a3b65a4614dde978e123aeddacfceb2
25,-dxfTGcXJoc$_$6,-dxfTGcXJoc/6.mp4,26,55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513,12.735026,12.628,28,27,27,27,1263,128,128,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,534,562,E.1/结果/06_Librosa74/逐样本/-dxfTGcXJoc$_$6.npz,460d45417b78f6102c69215ddbc4f6c5227d63d3195b518c3ae4eb361cece0e2,E.1/结果/07_FaceLandmarker52/逐样本/-dxfTGcXJoc$_$6.npz,92353c3525acc872ffa224080b9356c00ef536f5dfe07c46d3d920d10288dcfc,E.1/结果/08_原文词级跨模态对齐/逐样本/-dxfTGcXJoc$_$6.npz,b8947d97ecd8f6e6a298301cb83ae37274495b3385053ccc164bb0dbc3b3ccd0
26,-egA8-b7-3M$_$26,-egA8-b7-3M/26.mp4,27,11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685,6.03099,5.92,15,14,14,14,592,60,60,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,562,577,E.1/结果/06_Librosa74/逐样本/-egA8-b7-3M$_$26.npz,46bf5b067ba80013cacb9ef97e1f4fa125b58fe8c4cf0e4150ae0225302c82aa,E.1/结果/07_FaceLandmarker52/逐样本/-egA8-b7-3M$_$26.npz,4416b3fb63230187d09f2aa90c4a9cfbd7f6f445731c6bc89ee8f2b2de950083,E.1/结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$26.npz,130a013615857288265d23c0232efc994330809d3b6c32c226f450d0b100183b
27,-egA8-b7-3M$_$17,-egA8-b7-3M/17.mp4,28,f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f,7.271029,7.095,16,15,15,15,710,73,73,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,577,593,E.1/结果/06_Librosa74/逐样本/-egA8-b7-3M$_$17.npz,70d34b541b961899d7560ef5c8c16545890fa322a33e1e71874f3424fdb17d50,E.1/结果/07_FaceLandmarker52/逐样本/-egA8-b7-3M$_$17.npz,fb15dfe608adc09a5e3eedd7780ced973858c13537d3e8f09e8182df462b5562,E.1/结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$17.npz,38b46f813f0216d2119046636dcfd6895937e932f1520f1d303c56bc308c4ce4
28,-egA8-b7-3M$_$18,-egA8-b7-3M/18.mp4,29,fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90,8.386003,8.2656875,22,20,20,20,827,84,84,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,593,615,E.1/结果/06_Librosa74/逐样本/-egA8-b7-3M$_$18.npz,86a27e7037b612952080f319fdb42fca1e0bb0bc00b0d872f0a04e5ca40e45f6,E.1/结果/07_FaceLandmarker52/逐样本/-egA8-b7-3M$_$18.npz,59af9e3a864fa54879b3dc1928beda9c458342ac2f0d538ba22e4679ddabfd1b,E.1/结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$18.npz,bc6002b2dff217bf97a86a9b6b07d54910d26295d986fd52f338e751a2572287
29,-egA8-b7-3M$_$16,-egA8-b7-3M/16.mp4,30,4c015f85e3bd901ecedde8c0c2ca4a756d9a77dfe4177625c481581f2037ff9c,5.538021,5.483,11,11,11,11,549,56,56,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,615,626,E.1/结果/06_Librosa74/逐样本/-egA8-b7-3M$_$16.npz,00bbd692c645cc09e09e5d092d28c8766b3088e201b298329099e709ada9e76e,E.1/结果/07_FaceLandmarker52/逐样本/-egA8-b7-3M$_$16.npz,03341fd6bb961663180787152ae7884fc48848bcdc7d98705e9219055d86d474,E.1/结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$16.npz,863d62c43223ac869d19ceeafbad7452599b25ec044b29067a4f5ad97b89cf9d
30,-egA8-b7-3M$_$13,-egA8-b7-3M/13.mp4,31,cbd627c225ebca37521ae238cb9ec254cad236822f4f37ebfbb039e6c56aea4c,4.183984,4.023875,11,10,10,9,403,42,42,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,626,637,E.1/结果/06_Librosa74/逐样本/-egA8-b7-3M$_$13.npz,0d46b5033574a1cae5e1377bbe82e0cc04352c728f2c869a0ad9c49bf1b6ed40,E.1/结果/07_FaceLandmarker52/逐样本/-egA8-b7-3M$_$13.npz,0407c78ba1b88e0cbbe6dcbda697d3f9045553528f5699a983b8e35251657856,E.1/结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$13.npz,f84816271083a7db0949d30ff7c445231802045b4b8627130bfe699b3c8f00ca
31,-egA8-b7-3M$_$1,-egA8-b7-3M/1.mp4,32,589a7989b1b4888568c31614a2d6beefba88fb87289c85b94df2d8051500403b,10.266016,10.156,20,18,18,17,1016,103,103,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,637,657,E.1/结果/06_Librosa74/逐样本/-egA8-b7-3M$_$1.npz,e06e159506e5ed3e16cc745f297975bd7626ef69badfc01ef763fc79b06b3393,E.1/结果/07_FaceLandmarker52/逐样本/-egA8-b7-3M$_$1.npz,152cd73b872e6fdfa54d71a41c31bdc1b16ffa118a0b83aa79e7f984586a5c64,E.1/结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$1.npz,919d11eac0463c38826b44e8c030ecbf395999cd9c12c4076b9877b96dfe4d51
32,-egA8-b7-3M$_$6,-egA8-b7-3M/6.mp4,33,2e88a00d5e55863aa956b4b0949fc0e4f2975ccfd83b3194957f6fca86ecfce0,6.264974,6.183,12,12,12,12,619,63,63,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,657,669,E.1/结果/06_Librosa74/逐样本/-egA8-b7-3M$_$6.npz,cc8b7f1787d2ddaf84995e325600601859dc71d2c454461517fdb3e87e227f15,E.1/结果/07_FaceLandmarker52/逐样本/-egA8-b7-3M$_$6.npz,4700114f4844c9ca86c108e35e70f99ec9ed78d161415ad1a926b3f2aaf5192e,E.1/结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$6.npz,7c3d7ff01aacdd2e8693850be38f7ead3a31dd2ca211bd05ceab263b83defeb4
33,-egA8-b7-3M$_$9,-egA8-b7-3M/9.mp4,34,bcd643f328616312eae9b28e6c9aabbe8acaec3e4c4be58daeb45e3eee4d973c,5.089974,4.936,10,10,10,10,494,51,51,768,74,52,原文词,E.1/结果/05_BERT_base_uncased/原文逐词BERT特征.npy,669,679,E.1/结果/06_Librosa74/逐样本/-egA8-b7-3M$_$9.npz,9ed607a9ac27a7a96c8e8c7003eea8121892fe514557e87416593f497389a1a1,E.1/结果/07_FaceLandmarker52/逐样本/-egA8-b7-3M$_$9.npz,d8ce8762d2307422b4a1b2e30d73f6c9b92de2b7b6509cb74ecc9961db5d3839,E.1/结果/08_原文词级跨模态对齐/逐样本/-egA8-b7-3M$_$9.npz,e66fa68d7a268bee784dd3b4c09d996bc84c61ad77701766d569bc8b989bd5ee
